Date	LOCATION	Approved_applications	Actual_use	Headcounts		Country
05/20	NZL	 66.27 	 66.27 	 1436 		ニュージーランド
05/20	FRA	 54.93 	 32.61 	 13140 		フランス
04/20	CHE	 45.43 	#N/A	 1842 		スイス
05/20	ITA	 45.20 	#N/A	 8178 		イタリア
05/20	AUT	 36.84 	 36.84 	 1415 		オーストリア
05/20	PRT	 32.95 	#N/A	 1344 		ポルトガル
05/20	GBR	 31.47 	 31.47 	 8696 		イギリス
05/20	DEU	 30.24 	 18.74 	 11720 		ドイツ
04/20	LUX	 28.03 	#N/A	 73 		ルクセンブルク
05/20	NLD	 27.97 	 27.97 	 2100 		オランダ
05/20	AUS	 24.69 	 24.69 	 2900 		オーストラリア
05/20	BEL	 22.49 	#N/A	 939 		ベルギー
05/20	IRL	 18.83 	 18.83 	 380 		アイルランド
05/20	CZE	 18.09 	 18.09 	 799 		チェコ共和国
05/20	ESP	 17.81 	 17.81 	 2999 		スペイン
05/20	SWE	 11.48 	 11.48 	 531 		スウェーデン
05/20	DNK	 9.19 	 9.19 	 243 		デンマーク
05/20	NOR	 8.50 	 8.50 	 217 		ノルウェー
05/20	FIN	 7.35 	 7.35 	 162 		フィンランド
05/20	LVA	 5.61 	 5.61 	 45 		ラトビア
06/20	CAN	 15.86 	 15.86 	 2573 		カナダ
05/20	USA	 0.14 	 0.14 	 214 		米国
	OTO	 25.43 	#N/A	 61946 		OECD
